,Protein,Abundance,Sample
3596,PAX-interacting protein 1 ,0,I-14 PL
3597,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,I-14 PL
3598,Protein FAM83G ,0,I-14 PL
3599,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,I-14 PL
3600,Serpin B12 ,1,I-14 PL
3601,SKI/DACH domain-containing protein 1 ,0,I-14 PL
3602,Small ubiquitin-related modifier 2 ,0,I-14 PL
3603,Transketolase ,0,I-14 PL
3604,Transthyretin ,0,I-14 PL
3605,Tryptophan--tRNA ligase  ,1,I-14 PL
3606,Tyrosine-protein kinase ABL1 ,0,I-14 PL
3607,Tyrosine-protein kinase ABL2 ,0,I-14 PL
3608,Zinc finger protein 445 ,0,I-14 PL
3609,Zinc finger protein castor homolog 1 ,0,I-14 PL
3610,Adapter SH3BGRL ,0,I-14 PL
3611,ATP-binding cassette sub-family F member 1 ,0,I-14 PL
3612,Clathrin heavy chain 2 ,0,I-14 PL
3613,Cohesin subunit SA-3 ,0,I-14 PL
3614,Histone H2B type 1-A ,0,I-14 PL
3615,Histone H2B type 2-K1 ,0,I-14 PL
3616,Midasin ,0,I-14 PL
3617,POTE ankyrin domain family member F,0,I-14 PL
3618,Phosphate carrier protein  mitochondrial ,0,I-14 PL
3619,Polyadenylate-binding protein 1 ,0,I-14 PL
3620,Protein Shroom2 ,0,I-14 PL
3621,Protein-glutamine gamma-glutamyltransferase K ,1,I-14 PL
3622,Putative annexin A2-like protein ,1,I-14 PL
3623,Pyruvate kinase PKM ,0,I-14 PL
3624,Small proline-rich protein 2G ,0,I-14 PL
3625,Small ubiquitin-related modifier 3 ,0,I-14 PL
3626,Suprabasin ,0,I-14 PL
3627,Syndetin ,0,I-14 PL
3628,Tubulin alpha-3D chain ,0,I-14 PL
3629,Ubiquitin carboxyl-terminal hydrolase 32 ,0,I-14 PL
3630,Vesicle-fusing ATPase ,0,I-14 PL
3631,Vimentin ,0,I-14 PL
3632,Alpha-fetoprotein ,0,I-14 PL
3633,Coagulation factor X ,0,I-14 PL
3634,Immunoglobulin lambda variable 9-49 ,0,I-14 PL
3635,10 kDa heat shock protein  mitochondrial ,0,I-14 PL
3636,Adenosylhomocysteinase ,0,I-14 PL
3637,ATP synthase lipid-binding protein ,0,I-14 PL
3638,Citrate synthase  mitochondrial ,0,I-14 PL
3639,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,I-14 PL
3640,Dynein axonemal heavy chain 1 ,0,I-14 PL
3641,GTP-binding nuclear protein Ran ,0,I-14 PL
3642,HCG40295 ,1,I-14 PL
3643,Heat shock 70 kDa protein 6 ,0,I-14 PL
3644,Histone acetyltransferase KAT6B ,0,I-14 PL
3645,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,I-14 PL
3646,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,I-14 PL
3647,Nebulin ,0,I-14 PL
3648,Polyadenylate-binding protein 1-like ,0,I-14 PL
3649,Prohibitin ,0,I-14 PL
3650,Protein disulfide-isomerase A3 ,0,I-14 PL
3651,Protein FAM135A ,1,I-14 PL
3652,Ras-related protein Rab-5A ,0,I-14 PL
3653,Talin-2 ,0,I-14 PL
3654,C1q domain-containing protein,0,I-14 PL
3655,Retinol-binding protein ,0,I-14 PL
3656,Retinol-binding protein 4 ,0,I-14 PL
3657,IgGFc-binding protein ,0,I-14 PL
3658,Glial fibrillary acidic protein  ,1,I-14 PL
3659,HAUS augmin-like complex subunit 3 ,0,I-14 PL
3660,Heat shock 70 kDa protein 1A ,0,I-14 PL
3661,Histone H2B type 3-B ,0,I-14 PL
3662,Immunoglobulin lambda variable 1-44 ,0,I-14 PL
3663,Interleukin-1 receptor accessory protein ,0,I-14 PL
3664,Protein S100-A7 ,0,I-14 PL
3665,Tumor protein D52 ,0,I-14 PL
3666,Zinc finger MYND domain-containing protein 11 ,0,I-14 PL
3667,Aspartate aminotransferase  mitochondrial ,0,I-14 PL
3668,ATP synthase F(0) complex subunit C1  mitochondrial ,0,I-14 PL
3669,ATP synthase F(0) complex subunit C2  mitochondrial ,0,I-14 PL
3670,ATP-binding cassette sub-family G member 4 ,0,I-14 PL
3671,Chondroitin sulfate synthase 3 ,1,I-14 PL
3672,Fibrinogen beta chain ,0,I-14 PL
3673,Fructose-bisphosphate aldolase A ,0,I-14 PL
3674,Gamma-enolase ,0,I-14 PL
3675,Histone H2B type 1-,0,I-14 PL
3676,Histone H2B type 1-B ,0,I-14 PL
3677,Histone H2B type 2-E ,0,I-14 PL
3678,Immunoglobulin heavy variable 2-70D ,0,I-14 PL
3679,Immunoglobulin kappa joining 1 ,0,I-14 PL
3680,Microtubule-associated serine/threonine-protein kinase 3 ,0,I-14 PL
3681,POTE ankyrin domain family member I,0,I-14 PL
3682,Protein KIAA0100 ,0,I-14 PL
3683,Ras-related protein Rab-5C ,0,I-14 PL
3684,S-adenosylmethionine synthase ,0,I-14 PL
3685,Serine/arginine-rich splicing factor 3 ,0,I-14 PL
3686,Small nuclear ribonucleoprotein Sm D3 ,0,I-14 PL
3687,T-complex protein 1 subunit theta ,0,I-14 PL
3688,Calmodulin-like protein 5 ,0,I-14 PL
3689,Chloride intracellular channel protein 1 ,1,I-14 PL
3690,Histone H2B type 1-J ,0,I-14 PL
3691,Inactive pancreatic lipase-related protein 1 ,1,I-14 PL
3692,Methyl-CpG-binding domain protein 5 ,0,I-14 PL
3693,Myelin expression factor 2 ,0,I-14 PL
3694,Proline-rich protein 36 ,0,I-14 PL
3695,RPL22 ,0,I-14 PL
3696,Tubulin beta-4B chain ,0,I-14 PL
3697,Ubiquitin-protein ligase E3B ,1,I-14 PL
3698,Bridge-like lipid transfer protein family member 2  ,0,I-14 PL
3699,Dynein regulatory complex protein 10 ,0,I-14 PL
3700,Fructose-bisphosphate aldolase ,0,I-14 PL
3701,Glutamine synthetase ,0,I-14 PL
3702,Hypoxia-inducible factor 3-alpha ,0,I-14 PL
3703,Polyadenylate-binding protein ,0,I-14 PL
3704,Pyruvate kinase ,0,I-14 PL
3705,Ras-related protein Rab-5B ,0,I-14 PL
3706,SLIT-R,1,I-14 PL
3707,26S proteasome regulatory subunit 4 ,0,I-14 PL
3708,Aconitate hydratase  mitochondrial ,0,I-14 PL
3709,Endoplasmic reticulum chaperone BiP ,0,I-14 PL
3710,Hemoglobin subunit beta ,0,I-14 PL
3711,MAP kinase-activating death domain protein ,0,I-14 PL
3712,Myosin light polypeptide 6 ,0,I-14 PL
3713,Non-specific serine/threonine protein kinase ,0,I-14 PL
3714,Prolactin-inducible protein ,1,I-14 PL
3715,Rho family-interacting cell polarization regulator 1 ,0,I-14 PL
3716,Ribosome biogenesis protein SPATA5 ,0,I-14 PL
3717,Serpin B3 ,0,I-14 PL
3718,Tubby protein homolog ,0,I-14 PL
3719,Uncharacterized protein KIAA0825 ,0,I-14 PL
3720,Zymogen granule protein 16 homolog B ,0,I-14 PL
3721,Four and a half LIM domains protein 1  ,0,I-14 PL
3722,Immunoglobulin heavy variable 2-70 ,0,I-14 PL
3723,Mucin-19 ,0,I-14 PL
3724,Perilipin-3 ,0,I-14 PL
3725,Proline-serine-threonine phosphatase-interacting protein 2 ,1,I-14 PL
3726,Acyl-coenzyme A thioesterase 8 ,0,I-14 PL
3727,Cystatin-B ,0,I-14 PL
3728,Moesin ,0,I-14 PL
3729,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,I-14 PL
3730,Tubby-like protein ,1,I-14 PL
3731,Apolipoprotein C-II ,0,I-14 PL
3732,Beta-enolase ,0,I-14 PL
3733,Citrate synthase  ,0,I-14 PL
3734,Ezrin ,0,I-14 PL
3735,Nesprin-2 ,0,I-14 PL
3736,Protein unc-80 homolog ,0,I-14 PL
3737,Protocadherin Fat 4 ,0,I-14 PL
3738,Retroviral-like aspartic protease 1 ,0,I-14 PL
3739,Tryptophan--tRNA ligase  cytoplasmic ,1,I-14 PL
3740,Extracellular matrix protein 1 ,1,I-14 PL
3741,EH domain-binding protein 1-like protein 1 ,0,I-14 PL
3742,FERM and PDZ domain-containing protein 1 ,0,I-14 PL
3743,Sulfhydryl oxidase 1 ,0,I-14 PL
3744,Collagen alpha-2(XI) chain ,0,I-14 PL
3745,Glycine--tRNA ligase ,0,I-14 PL
3746,Protein SON,0,I-14 PL
3747,TSC22 domain family protein 2 ,0,I-14 PL
3748,Tubulin beta-8 chain ,0,I-14 PL
3749,Stress-70 protein  mitochondrial ,0,I-14 PL
3750,Dedicator of cytokinesis protein 1 ,0,I-14 PL
3751,Immunoglobulin heavy variable 3-73 ,0,I-14 PL
3752,Immunoglobulin heavy variable 3-64 ,0,I-14 PL
3753,Proline/serine-rich coiled-coil protein 1 ,0,I-14 PL
3754,SERPIN domain-containing protein  ,0,I-14 PL
3755,Deleted in malignant brain tumors 1 protein ,0,I-14 PL
3756,Immunoglobulin lambda variable 1-40 ,0,I-14 PL
3757,NCK-interacting protein with SH3 domain ,0,I-14 PL
3758,Submaxillary gland androgen-regulated protein 3B ,0,I-14 PL
3759,T-complex protein 1 subunit gamma ,0,I-14 PL
3760,Clathrin coat assembly protein AP180 ,0,I-14 PL
3761,78 kDa glucose-regulated protein ,0,I-14 PL
3762,Bleomycin hydrolase ,0,I-14 PL
3763,Immunoglobulin kappa variable 3D-15 ,0,I-14 PL
3764,Protein S100-A9 ,0,I-14 PL
3765,Immunoglobulin kappa variable 1/,0,I-14 PL
3766,Ras-related protein Rab-7a ,0,I-14 PL
3767,DNA replication licensing factor MCM4 ,0,I-14 PL
3768,Fibrinogen alpha chain ,0,I-14 PL
3769,Protein S100-A8 ,1,I-14 PL
3770,Fermitin family homolog 3 ,1,I-14 PL
3771,Fibrinogen gamma chain ,1,I-14 PL
3772,26S proteasome regulatory subunit 8 ,0,I-14 PL
3773,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,I-14 PL
3774,Immunoglobulin kappa variable 6-21 ,1,I-14 PL
3775,14-3-3 protein zeta/delta ,0,I-14 PL
3776,Immunoglobulin lambda variable 3-19 ,0,I-14 PL
3777,POTE ankyrin domain family member E,0,I-14 PL
3778,Putative beta-actin-like protein 3 ,0,I-14 PL
3779,Protein disulfide-isomerase ,0,I-14 PL
3780,Phosphoglycerate kinase 1 ,0,I-14 PL
3781,Talin-1 ,1,I-14 PL
3782,Tetratricopeptide repeat protein 39A ,1,I-14 PL
3783,Complement component C8 gamma chain ,1,I-14 PL
3784,Profilin ,0,I-14 PL
3785,Profilin-1 ,0,I-14 PL
3786,Hemicentin-2 ,0,I-14 PL
3787,Eukaryotic initiation factor 4A-I ,0,I-14 PL
3788,Glutathione peroxidase 3 ,1,I-14 PL
3789,RNA helicase ,0,I-14 PL
3790,Glutathione S-transferase ,0,I-14 PL
3791,Glutathione S-transferase P ,0,I-14 PL
3792,GTP-binding protein SAR1a ,1,I-14 PL
3793,Immunoglobulin heavy variable 1-69 ,1,I-14 PL
3794,14-3-3 protein sigma ,0,I-14 PL
3795,60S ribosomal protein L22 ,0,I-14 PL
3796,ATP-binding cassette sub-family B member 5 ,0,I-14 PL
3797,Phosphatidylcholine translocator ABCB4 ,0,I-14 PL
3798,40S ribosomal protein S8 ,0,I-14 PL
3799,GTP-binding protein SAR1b ,1,I-14 PL
3800,Heterogeneous nuclear ribonucleoprotein A1 ,0,I-14 PL
3801,Tubulin beta-4A chain ,0,I-14 PL
3802,Immunoglobulin kappa variable 1-9 ,1,I-14 PL
3803,Dystonin ,0,I-14 PL
3804,Radixin ,0,I-14 PL
3805,BPI fold-containing family B member 1 ,1,I-14 PL
3806,Properdin ,1,I-14 PL
3807,Eukaryotic initiation factor 4A-II ,0,I-14 PL
3808,Probable non-functional immunoglobulin heavy variable 3-35 ,1,I-14 PL
3809,Immunoglobulin heavy variable 4-31 ,1,I-14 PL
3810,Immunoglobulin heavy variable 4-30-2 ,1,I-14 PL
3811,Elongation factor 1-delta ,0,I-14 PL
3812,Sushi domain-containing protein,1,I-14 PL
3813,ATP synthase subunit beta  ,0,I-14 PL
3814,Immunoglobulin kappa variable 1D-12 ,0,I-14 PL
3815,Immunoglobulin heavy variable 4-59 ,1,I-14 PL
3816,Immunoglobulin heavy variable 4-34 ,1,I-14 PL
3817,Immunoglobulin heavy variable 4-61 ,1,I-14 PL
3818,TAR DNA-binding protein 43 ,0,I-14 PL
3819,Immunoglobulin heavy variable 3-53 ,0,I-14 PL
3820,Immunoglobulin heavy variable 4-30-4 ,1,I-14 PL
3821,ATP synthase subunit beta  mitochondrial ,0,I-14 PL
3822,Immunoglobulin heavy variable 3-66 ,0,I-14 PL
3823,Immunoglobulin kappa variable 1-12 ,0,I-14 PL
3824,Immunoglobulin lambda variable 3-9 ,1,I-14 PL
3825,Immunoglobulin heavy variable 3-11 ,0,I-14 PL
3826,Heat shock protein beta-1 ,0,I-14 PL
3827,Immunoglobulin kappa variable 2-28 ,0,I-14 PL
3828,Immunoglobulin kappa variable 2D-26 ,0,I-14 PL
3829,Immunoglobulin kappa variable 2D-28 ,0,I-14 PL
3830,Immunoglobulin lambda constant 6 ,0,I-14 PL
3831,Immunoglobulin lambda variable 3-25 ,1,I-14 PL
3832,Immunoglobulin heavy variable 1/,0,I-14 PL
3833,Immunoglobulin heavy variable 2-26 ,0,I-14 PL
3834,Immunoglobulin lambda variable 8-61 ,0,I-14 PL
3835,Leucine-rich alpha-2-glycoprotein ,0,I-14 PL
3836,Cholesteryl ester transfer protein ,0,I-14 PL
3837,Immunoglobulin kappa variable 6D-21 ,0,I-14 PL
3838,Immunoglobulin lambda variable 2-18 ,0,I-14 PL
3839,Immunoglobulin heavy variable 4-28 ,0,I-14 PL
3840,Immunoglobulin lambda variable 6-57 ,0,I-14 PL
3841,SH3 and multiple ankyrin repeat domains protein 1 ,0,I-14 PL
3842,Apolipoprotein M ,0,I-14 PL
3843,Adiponectin ,0,I-14 PL
3844,Immunoglobulin heavy variable 1-24 ,0,I-14 PL
3845,Uncharacterized protein ZSWIM9 ,0,I-14 PL
3846,Apolipoprotein A-II ,1,I-14 PL
3847,Alpha-1-acid glycoprotein 2 ,0,I-14 PL
3848,Immunoglobulin kappa variable 2-24 ,0,I-14 PL
3849,Complement factor D ,0,I-14 PL
3850,Immunoglobulin kappa variable 1D-16 ,0,I-14 PL
3851,Immunoglobulin heavy variable 7-4-1 ,0,I-14 PL
3852,Beta-Ala-His dipeptidase ,1,I-14 PL
3853,Coagulation factor XIII A chain ,0,I-14 PL
3854,Selenoprotein P ,0,I-14 PL
3855,Coagulation factor IX ,1,I-14 PL
3856,Transferrin receptor protein 1 ,0,I-14 PL
3857,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,I-14 PL
3858,Immunoglobulin lambda variable 1-51 ,0,I-14 PL
3859,Pigment epithelium-derived factor ,0,I-14 PL
3860,Immunoglobulin kappa variable 1-17 ,1,I-14 PL
3861,Complement C1q subcomponent subunit C ,0,I-14 PL
3862,Galectin-3-binding protein ,0,I-14 PL
3863,Immunoglobulin kappa variable 2D-30 ,0,I-14 PL
3864,Immunoglobulin kappa variable 2D-29 ,0,I-14 PL
3865,Immunoglobulin kappa variable 2-29 ,0,I-14 PL
3866,Immunoglobulin kappa variable 1D-33 ,0,I-14 PL
3867,Immunoglobulin kappa variable 1-33 ,0,I-14 PL
3868,Immunoglobulin kappa variable 1D-8 ,0,I-14 PL
3869,Coagulation factor XIII B chain ,0,I-14 PL
3870,Immunoglobulin kappa variable 1-5 ,0,I-14 PL
3871,Immunoglobulin kappa variable 2-30 ,0,I-14 PL
3872,Immunoglobulin kappa variable 1-13 ,1,I-14 PL
3873,Immunoglobulin kappa variable 1D-13 ,1,I-14 PL
3874,Complement C1s subcomponent ,1,I-14 PL
3875,Complement C1q subcomponent subunit A ,0,I-14 PL
3876,Immunoglobulin heavy variable 3-20 ,0,I-14 PL
3877,Immunoglobulin lambda-like polypeptide 1 ,0,I-14 PL
3878,Alpha-1-acid glycoprotein 1 ,0,I-14 PL
3879,Complement component C7 ,1,I-14 PL
3880,Immunoglobulin kappa variable 2-40 ,0,I-14 PL
3881,Immunoglobulin kappa variable 2D-40 ,0,I-14 PL
3882,Complement C1r subcomponent-like protein ,0,I-14 PL
3883,Fibulin-1 ,0,I-14 PL
3884,Protein AMBP ,0,I-14 PL
3885,Zinc-alpha-2-glycoprotein ,0,I-14 PL
3886,Immunoglobulin heavy variable 3-74 ,1,I-14 PL
3887,Ficolin-3 ,0,I-14 PL
3888,Probable non-functional immunoglobulin kappa variable 3-7 ,1,I-14 PL
3889,Immunoglobulin heavy variable 3-43D ,0,I-14 PL
3890,C3/C5 convertase ,0,I-14 PL
3891,Complement C2 ,0,I-14 PL
3892,Complement factor H-related protein 2 ,0,I-14 PL
3893,Corticosteroid-binding globulin ,0,I-14 PL
3894,Immunoglobulin heavy variable 3-30-3 ,0,I-14 PL
3895,Serum paraoxonase/arylesterase 1 ,0,I-14 PL
3896,Immunoglobulin heavy variable 3-33 ,0,I-14 PL
3897,Immunoglobulin heavy variable 3-21 ,0,I-14 PL
3898,Lumican ,0,I-14 PL
3899,Coagulation factor XII ,0,I-14 PL
3900,Immunoglobulin heavy variable 3-72 ,1,I-14 PL
3901,Thyroxine-binding globulin ,0,I-14 PL
3902,Inter-alpha-trypsin inhibitor heavy chain H2 ,0,I-14 PL
3903,Complement factor I ,0,I-14 PL
3904,Alpha-2-antiplasmin ,0,I-14 PL
3905,Plasma protease C1 inhibitor ,0,I-14 PL
3906,Vitamin K-dependent protein S ,1,I-14 PL
3907,Collagen alpha-1(XII) chain ,0,I-14 PL
3908,Immunoglobulin lambda constant 7 ,0,I-14 PL
3909,ITIH4 protein ,0,I-14 PL
3910,Alpha-1-antichymotrypsin ,0,I-14 PL
3911,Hemopexin ,0,I-14 PL
3912,Complement C4-B ,0,I-14 PL
3913,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,I-14 PL
3914,Alpha-1-antitrypsin ,0,I-14 PL
3915,Immunoglobulin heavy constant gamma 1 ,0,I-14 PL
3916,Thrombospondin-1 ,1,I-14 PL
3917,Apolipoprotein F ,1,I-14 PL
3918,Immunoglobulin heavy variable 1-3 ,1,I-14 PL
3919,Apolipoprotein A-I ,1,I-14 PL
3920,Apolipoprotein B-100 ,0,I-14 PL
3921,Plasma serine protease inhibitor ,0,I-14 PL
3922,Immunoglobulin J chain ,1,I-14 PL
3923,Apolipoprotein L1 ,0,I-14 PL
3924,Phosphatidylcholine-sterol acyltransferase ,1,I-14 PL
3925,Protein Z-dependent protease inhibitor ,1,I-14 PL
3926,Complement component C9 ,0,I-14 PL
3927,Immunoglobulin heavy variable 3-7 ,1,I-14 PL
3928,CD5 antigen-like ,1,I-14 PL
3929,Immunoglobulin lambda variable 3-10 ,1,I-14 PL
3930,Probable non-functional immunoglobulinn kappa variable 1D-37 ,1,I-14 PL
3931,Probable non-functional immunoglobulinn kappa variable 1-37 ,1,I-14 PL
3932,Fetuin-B ,1,I-14 PL
3933,Immunoglobulin heavy variable 1-8 ,1,I-14 PL
3934,Carboxypeptidase B2 ,1,I-14 PL
3935,Phospholipid transfer protein ,1,I-14 PL
3936,Immunoglobulin kappa variable 3-20 ,1,I-14 PL
3937,Immunoglobulin heavy variable 1-46 ,1,I-14 PL
3938,Haptoglobin ,0,I-14 PL
3939,Immunoglobulin heavy variable 1-2 ,1,I-14 PL
3940,Immunoglobulin heavy variable 1-69D ,1,I-14 PL
3941,Immunoglobulin kappa variable 1-6 ,0,I-14 PL
3942,Gelsolin ,1,I-14 PL
3943,Serum amyloid P-component ,0,I-14 PL
3944,Immunoglobulin heavy variable 3-49 ,1,I-14 PL
3945,Immunoglobulin kappa variable 3-11 ,1,I-14 PL
3946,Complement subcomponent C1r ,0,I-14 PL
3947,Lipopolysaccharide-binding protein ,1,I-14 PL
3948,Immunoglobulin lambda variable 3-27 ,1,I-14 PL
3949,Immunoglobulin heavy variable 1-69-2 ,1,I-14 PL
3950,Immunoglobulin heavy variable 1-18 ,1,I-14 PL
3951,Beta-2-glycoprotein 1 ,1,I-14 PL
3952,Immunoglobulin kappa variable 1-39 ,0,I-14 PL
3953,Immunoglobulin kappa variable 1D-39 ,0,I-14 PL
3954,Vitronectin ,0,I-14 PL
3955,Kininogen-1 ,0,I-14 PL
3956,Hepatocyte growth factor activator ,1,I-14 PL
3957,Immunoglobulin heavy variable 3-23 ,1,I-14 PL
3958,Hyaluronan-binding protein 2 ,1,I-14 PL
3959,Immunoglobulin heavy constant alpha 1 ,1,I-14 PL
3960,Plasma kallikrein ,0,I-14 PL
3961,Ig-like domain-containing protein  ,0,I-14 PL
3962,Complement C1r subcomponent ,0,I-14 PL
3963,Angiotensinogen ,1,I-14 PL
3964,Alpha-2-HS-glycoprotein ,0,I-14 PL
3965,Complement component C6 ,1,I-14 PL
3966,Immunoglobulin kappa variable 3D-20 ,1,I-14 PL
3967,Immunoglobulin heavy constant mu ,0,I-14 PL
3968,Immunoglobulin heavy variable 3-15 ,1,I-14 PL
3969,Immunoglobulin kappa variable 1-27 ,0,I-14 PL
3970,C4b-binding protein alpha chain ,1,I-14 PL
3971,Plasminogen ,1,I-14 PL
3972,Immunoglobulin kappa variable 1-8 ,0,I-14 PL
3973,Carboxypeptidase N subunit 2 ,0,I-14 PL
3974,Immunoglobulin lambda variable 1-47 ,0,I-14 PL
3975,Immunoglobulin kappa variable 1-16 ,1,I-14 PL
3976,Complement factor B ,0,I-14 PL
3977,Fibronectin ,1,I-14 PL
3978,Immunoglobulin lambda constant 3 ,0,I-14 PL
3979,Immunoglobulin heavy variable 4-38-2 ,1,I-14 PL
3980,Immunoglobulin heavy variable 3-9 ,1,I-14 PL
3981,Immunoglobulin kappa variable 3/,1,I-14 PL
3982,Immunoglobulin kappa variable 3D-7 ,1,I-14 PL
3983,Immunoglobulin heavy variable 4-4 ,0,I-14 PL
3984,Prothrombin ,0,I-14 PL
3985,Kallistatin ,0,I-14 PL
3986,Complement component C8 beta chain ,1,I-14 PL
3987,Apolipoprotein D ,0,I-14 PL
3988,Immunoglobulin lambda constant 2 ,0,I-14 PL
3989,Haptoglobin-related protein ,0,I-14 PL
3990,N-acetylmuramoyl-L-alanine amidase ,1,I-14 PL
3991,Immunoglobulin lambda variable 3-21 ,1,I-14 PL
3992,Antithrombin-III ,0,I-14 PL
3993,Heparin cofactor 2 ,1,I-14 PL
3994,Complement C3 ,0,I-14 PL
3995,Immunoglobulin heavy variable 4-39 ,0,I-14 PL
3996,Immunoglobulin heavy constant gamma 4 ,0,I-14 PL
3997,Immunoglobulin heavy constant alpha 2 ,1,I-14 PL
3998,Immunoglobulin heavy constant delta ,0,I-14 PL
3999,Ceruloplasmin ,0,I-14 PL
4000,Complement factor H ,1,I-14 PL
4001,Vitamin D-binding protein ,0,I-14 PL
4002,Alpha-1B-glycoprotein ,0,I-14 PL
4003,Complement C5 ,0,I-14 PL
4004,Insulin-like growth factor-binding protein complex acid labile subunit ,0,I-14 PL
4005,Immunoglobulin kappa variable 3-15 ,0,I-14 PL
4006,Immunoglobulin kappa constant ,0,I-14 PL
4007,Immunoglobulin lambda constant 1 ,1,I-14 PL
4008,Immunoglobulin lambda-like polypeptide 5 ,1,I-14 PL
4009,Immunoglobulin heavy constant gamma 3 ,0,I-14 PL
4010,Immunoglobulin heavy constant gamma 3  ,0,I-14 PL
4011,Complement C1q subcomponent subunit B ,0,I-14 PL
4012,Immunoglobulin heavy variable 3-13 ,0,I-14 PL
4013,Complement component C8 alpha chain ,1,I-14 PL
4014,Albumin ,0,I-14 PL
4015,Immunoglobulin heavy variable 3/,1,I-14 PL
4016,Inter-alpha-trypsin inhibitor heavy chain H1 ,0,I-14 PL
4017,Afamin ,0,I-14 PL
4018,Immunoglobulin kappa variable 4-1 ,0,I-14 PL
4019,Histidine-rich glycoprotein ,0,I-14 PL
4020,Immunoglobulin heavy variable 5-51 ,0,I-14 PL
4021,Immunoglobulin heavy constant gamma 2 ,0,I-14 PL
4022,Complement C4-A ,0,I-14 PL
4023,Serotransferrin ,0,I-14 PL
4024,Alpha-2-macroglobulin ,0,I-14 PL
4025,Clusterin ,1,I-16
4026,Apolipoprotein E ,1,I-16
4027,Actin  cytoplasmic 2 ,1,I-16
4028,Heat shock cognate 71 kDa protein ,1,I-16
4029,Annexin ,1,I-16
4030,Glyceraldehyde-3-phosphate dehydrogenase ,1,I-16
4031,Actin  cytoplasmic 1 ,1,I-16
4032,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,I-16
4033,Polyubiquitin-C ,1,I-16
4034,40S ribosomal protein SA ,1,I-16
4035,Tubulin alpha-1A chain ,1,I-16
4036,Tubulin alpha-1B chain ,1,I-16
4037,Cathepsin D ,1,I-16
4038,Corneodesmosin ,1,I-16
4039,Histone H2A ,1,I-16
4040,Desmoplakin ,1,I-16
4041,Histone H3 ,1,I-16
4042,Arginase-1 ,1,I-16
4043,Coagulation factor V ,1,I-16
4044,Heterogeneous nuclear ribonucleoprotein U ,1,I-16
4045,Heat shock protein HSP 90-alpha ,1,I-16
4046,Histone H1.2 ,1,I-16
4047,Tubulin alpha-1C chain ,1,I-16
4048,Tubulin alpha chain ,1,I-16
4049,Junction plakoglobin ,1,I-16
4050,Dipeptidyl peptidase 1 ,1,I-16
4051,Histone H2B type 2-F ,1,I-16
4052,Cofilin-1 ,1,I-16
4053,Polyubiquitin-B ,1,I-16
4054,ATP synthase subunit alpha  mitochondrial ,1,I-16
4055,Annexin A2 ,1,I-16
4056,Desmocollin-1 ,1,I-16
4057,Dermokine ,1,I-16
4058,Histone H4 ,1,I-16
4059,Peptidase A1 domain-containing protein ,1,I-16
4060,Histone H1.5 ,1,I-16
4061,Heat shock protein HSP 90-beta ,1,I-16
4062,Histone H3.3 ,1,I-16
4063,Tubulin beta chain ,1,I-16
4064,Histone H1.3 ,1,I-16
4065,Histone H1.4 ,1,I-16
4066,Histone H2A type 2-B ,1,I-16
4067,Heat shock protein 75 kDa  mitochondrial ,1,I-16
4068,Filaggrin-2 ,1,I-16
4069,Alpha-enolase ,1,I-16
4070,Lysozyme C ,1,I-16
4071,Histone H2B ,1,I-16
4072,Histone H2B type 1-C/E/F/G/I ,1,I-16
4073,Histone H2B type 1-D ,1,I-16
4074,Histone H2B type 1-H ,1,I-16
4075,Histone H2B type 1-L ,1,I-16
4076,Histone H2B type 1-M ,1,I-16
4077,Histone H2B type 1-N ,1,I-16
4078,Histone H2B type 1-K ,1,I-16
4079,Histone H2B type F-S ,1,I-16
4080,Immunoglobulin kappa variable 3D-11 ,1,I-16
4081,Apolipoprotein C-III ,1,I-16
4082,Dermcidin ,1,I-16
4083,Ubiquitin-60S ribosomal protein L40 ,1,I-16
4084,Cofilin-2 ,1,I-16
4085,L-lactate dehydrogenase A chain ,1,I-16
4086,C-reactive protein ,1,I-16
4087,Hornerin ,1,I-16
4088,Protein POF1B,1,I-16
4089,Phosphopyruvate hydratase ,1,I-16
4090,Histone H3.1 ,1,I-16
4091,Histone H3.1t ,1,I-16
4092,Histone H3.2 ,1,I-16
4093,60S ribosomal protein L7a ,1,I-16
4094,BRI3-binding protein ,1,I-16
4095,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,I-16
4096,Ubiquitin-40S ribosomal protein S27a ,1,I-16
4097,Apolipoprotein(a) ,1,I-16
4098,60 kDa heat shock protein  mitochondrial ,1,I-16
